cell_id,centroid_lon,centroid_lat,LST_mean,LST_std,NDVI_mean,NDVI_std,building_count,building_area,road_count,road_length,impervious_surface_proxy,vegetation_cover_proxy
0,77.4645507,12.8921251,23.58644964772201,1.9245782316101392,0.5066812366732488,0.13609852713483536,8,0.00023024328465366475,5,0.007227087559071939,92.0658128855013,0.5066812366732488
1,77.4645507,12.9011251,23.852381179630093,1.977203254644229,0.4868825134452395,0.13428249841759196,9,5.4069338190815854e-05,6,0.0036988089699437057,46.33183096462373,0.4868825134452395
2,77.4645507,12.9101251,23.712675791606905,1.7766413720276122,0.4253181374795592,0.16250204861667408,8,7.355124829927151e-05,9,0.01707027103763186,211.65212698680412,0.4253181374795592
3,77.4645507,12.9821251,25.85092770551433,1.9093021567213873,0.3342459541867172,0.16033887183986975,7,0.00044593027194990203,5,0.0041181796470978775,56.34703603762691,0.3342459541867172
4,77.4645507,12.9911251,26.153783243561733,1.9162053995193242,0.32727311607144893,0.1668079339048529,24,0.0007307131238515073,8,0.038966991988056074,490.0951248383652,0.32727311607144893
5,77.4735507,12.8741251,23.347272744399234,2.1226511341720857,0.5329269869421269,0.15062718886462453,6,0.00013148339498446994,8,0.0016232659583953122,21.66357226394793,0.5329269869421269
6,77.4735507,12.8831251,23.57415680006849,2.1548151482201776,0.5094317645243028,0.163562105463428,15,9.315754952136441e-05,5,0.005645119558800188,70.84292726322904,0.5094317645243028
7,77.4735507,12.8921251,23.493674163003497,1.8894404687546078,0.49685562462248084,0.15855935838418234,10,0.00010123042622024237,4,0.02473463338894319,306.6156026563387,0.49685562462248084
8,77.4735507,12.9011251,24.426450205668903,2.1326617030964945,0.4755255350455479,0.15662465973367906,13,0.0002237016627521214,5,0.0006184454185219625,10.39687754659363,0.4755255350455479
9,77.4735507,12.9101251,24.582326709566708,1.7436819386699343,0.4290451770042911,0.13772236329447887,14,0.00016428669301876903,9,0.033644747024808824,417.3954779978715,0.4290451770042911
10,77.4735507,12.9191251,25.037153185754754,1.9093539466245164,0.3891790707332638,0.15371040134489708,9,0.00035034999790249915,2,0.033078912913636745,412.70694952517584,0.3891790707332638
11,77.4735507,12.9281251,25.45533643266945,2.2294711104891394,0.35038600759887323,0.12377628121911034,10,8.145455844408475e-05,6,0.01419679338273598,176.27466594049463,0.35038600759887323
12,77.4735507,12.9371251,25.971958560345556,1.962332499175671,0.3370909087839723,0.15364036470404993,9,8.763830412313099e-05,5,0.021220329692259423,263.06133328867355,0.3370909087839723
13,77.4735507,12.9461251,25.373359371487027,1.7945537146022006,0.35110446017798985,0.1647391467736786,10,6.816252591612428e-05,1,0.0057692435373290175,72.06674152154497,0.35110446017798985
14,77.4735507,12.9551251,25.83750583169051,2.195231001758901,0.33672556296584255,0.1578084174857783,16,0.000711281204693971,6,0.02130722315835427,271.8333871981265,0.33672556296584255
15,77.4735507,12.9641251,26.322202192090927,1.6877449472320143,0.2922912918917582,0.1260345829985224,14,5.564876748964883e-05,2,0.028820097645543167,356.4906964571953,0.2922912918917582
16,77.4735507,12.9731251,26.05948998261819,2.298926024325137,0.3033627467364816,0.13911752025402618,14,1.674479711813274e-05,7,0.018440467747371667,227.86682153691112,0.3033627467364816
17,77.4735507,12.9821251,26.50115525822399,1.823220889840023,0.2992465939672171,0.13679842669127096,15,0.00024198134380630043,11,0.04070851164177001,505.5616417972384,0.2992465939672171
18,77.4735507,12.9911251,26.612707645940933,1.7363418720060302,0.29876899284492764,0.15233624296905598,23,5.241959490366653e-05,10,0.016514142834191517,204.5254620875949,0.29876899284492764
19,77.4735507,13.0001251,26.474165662159646,2.0910570253057013,0.26544893371807826,0.13774491076438478,14,7.540280185288983e-05,10,0.017241847182032987,213.79320967760341,0.26544893371807826
20,77.4735507,13.0091251,26.47426412681327,2.0596611157629483,0.27127703777807777,0.1458013330119195,14,2.7744458949264847e-05,11,0.07813806190370194,965.0099550944594,0.27127703777807777
21,77.4735507,13.0181251,26.582652062201607,2.3756614183773563,0.30278307608876576,0.1772510984053699,14,9.387292506656472e-05,4,0.026677785876769396,330.5143061955057,0.30278307608876576
22,77.4735507,13.0271251,26.441989192723288,1.8688601946515304,0.30832293607783007,0.1296611042156643,17,0.0007022833519209095,5,0.006779661526066729,92.36968985169925,0.30832293607783007
23,77.4735507,13.0361251,26.145814436741524,2.1405508461285345,0.24889323248204587,0.14995920070579427,17,0.0005699112811163901,4,0.009697040415012353,126.75249007566352,0.24889323248204587
24,77.4825507,12.8741251,23.650866710966184,1.8790185656857352,0.4989780271755366,0.14799026883364472,10,0.00046971546009202416,4,0.00496578498631202,67.10494378276599,0.4989780271755366
25,77.4825507,12.8831251,23.996619109843937,2.100875114052497,0.45801889112706545,0.14493681728941873,14,0.00017880182070109513,7,0.007030406468042749,89.00257146597339,0.45801889112706545
26,77.4825507,12.8921251,24.08335920884933,1.6347251897798154,0.4481531370124529,0.12474528732909798,11,0.00013782536099271223,6,0.012213150897996497,152.48118838258284,0.4481531370124529
27,77.4825507,12.9011251,24.416933291924376,2.0774433213164682,0.3903654355250892,0.15039342700914962,7,5.0152573096401414e-05,10,0.011986632804119149,148.6022886075994,0.3903654355250892
28,77.4825507,12.9101251,25.126482962143026,1.8734131877420812,0.4171246857161782,0.16146201732622503,15,1.6820213088868631e-06,8,0.009736916317785293,120.22960912461951,0.4171246857161782
29,77.4825507,12.9191251,25.746382629055724,1.8242672944844314,0.3751346153479225,0.13099943141462966,16,3.072363503847353e-05,6,0.03310268693080559,409.05445143017374,0.3751346153479225
30,77.4825507,12.9281251,25.846686119357848,2.111561379893888,0.3536959304416166,0.15870892965431782,20,0.00021699438858804906,11,0.011557842640431882,145.36835838296213,0.3536959304416166
31,77.4825507,12.9371251,25.96836312370506,1.7974166127907492,0.34437935660619123,0.14489165528252612,17,0.00018858683274112484,13,0.0032393835601748507,42.32062213476514,0.34437935660619123
32,77.4825507,12.9461251,26.42244091440916,1.982133275222029,0.27677748045798023,0.15001436498566362,19,0.000124385049026501,8,0.009525391349249828,119.13304195402877,0.27677748045798023
33,77.4825507,12.9551251,26.668493711354177,1.8805425814724623,0.30451682566076715,0.14360172763592402,8,0.00016856545119938427,9,0.017882684371039178,222.85493607701935,0.30451682566076715
34,77.4825507,12.9641251,26.584670417278794,1.9493649691390487,0.26115053681486033,0.16253893863179752,11,0.00019261404349678522,10,0.003212937238104807,42.04384298273571,0.26115053681486033
35,77.4825507,12.9731251,27.11452648452086,2.068277836327521,0.28873941707184336,0.14058776805895518,13,2.7283553792814963e-05,6,0.01687835304534289,208.71156295229272,0.28873941707184336
36,77.4825507,12.9821251,27.05167684707418,1.837955944572698,0.2703911061781809,0.11831083847600686,20,0.00048433211153850225,8,0.030849408111930616,386.8362990551743,0.2703911061781809
37,77.4825507,12.9911251,27.437764412730363,2.0265312392854957,0.2626268613191954,0.16033435429633497,3,0.0007150598260590998,4,0.04534868525150993,568.6882108341856,0.2626268613191954
38,77.4825507,13.0001251,27.11632478316364,2.0529470379268755,0.23199841308704358,0.14924477031164704,15,0.000840489787337722,8,0.011311940999743017,150.0300097170462,0.23199841308704358
39,77.4825507,13.0091251,27.53959390772947,1.9573953197383258,0.25057764213462397,0.16056903556937116,11,0.000748098943217066,8,0.017040515590048846,219.61252510204832,0.25057764213462397
40,77.4825507,13.0181251,26.80024126093712,2.409384897149614,0.2526546757538343,0.14082887959230247,9,0.000592128172831264,13,0.04998356813998388,624.3913125038906,0.2526546757538343
41,77.4825507,13.0271251,27.286162814814837,1.9471995561078985,0.22097876935207747,0.1415880873048521,18,0.0002964710409481198,6,0.021930377218526028,274.4055340675821,0.22097876935207747
42,77.4825507,13.0361251,26.393278143844203,1.9593001991152799,0.2683585201960306,0.153714016550816,8,6.215890056372236e-05,12,0.06874176972131625,849.4312175540739,0.2683585201960306
43,77.4825507,13.0451251,26.453512231611086,1.642233362083212,0.25466790397491484,0.1293808048808638,18,0.0001779360046452196,5,0.03409180566060207,423.08323043515173,0.25466790397491484
44,77.4915507,12.8741251,24.01726797417563,1.9177368677895492,0.5145119858858028,0.15748775898397696,13,0.00018300238761249894,4,0.005094268894663516,65.15149731204957,0.5145119858858028
45,77.4915507,12.8831251,24.472696401389683,1.8574184516527164,0.42267511508552486,0.133525013238205,8,8.578628256557312e-05,4,6.780415635570786e-05,1.8961782582874198,0.42267511508552486
46,77.4915507,12.8921251,24.747980289039113,2.0701038515736774,0.4177412696775205,0.157320539054228,13,0.0007798424950387787,8,0.010695831743140661,141.67499059480792,0.4177412696775205
47,77.4915507,12.9011251,25.10177710077812,1.9663808387674815,0.387748093104076,0.15950106025044353,11,0.0007809720925928415,20,0.048771816015329636,611.7628161471912,0.387748093104076
